,profile
9/15/15 6:00,0.016619
9/15/15 6:15,0.024671
9/15/15 6:30,0.033454
9/15/15 6:45,0.040398
9/15/15 7:00,0.04697
9/15/15 7:15,0.053624
9/15/15 7:30,0.061301
9/15/15 7:45,0.070527
9/15/15 8:00,0.081917
9/15/15 8:15,0.095747
9/15/15 8:30,0.114522
9/15/15 8:45,0.135112
9/15/15 9:00,0.157508
9/15/15 9:15,0.179934
9/15/15 9:30,0.202028
9/15/15 9:45,0.239931
9/15/15 10:00,0.277428
9/15/15 10:15,0.313806
9/15/15 10:30,0.347409
9/15/15 10:45,0.394895
9/15/15 11:00,0.436271
9/15/15 11:15,0.477784
9/15/15 11:30,0.516312
9/15/15 11:45,0.551963
9/15/15 12:00,0.581403
9/15/15 12:15,0.584592
9/15/15 12:30,0.603952
9/15/15 12:45,0.630864
9/15/15 13:00,0.646115
9/15/15 13:15,0.635417
9/15/15 13:30,0.618185
9/15/15 13:45,0.604516
9/15/15 14:00,0.591369
9/15/15 14:15,0.599616
9/15/15 14:30,0.613022
9/15/15 14:45,0.613879
9/15/15 15:00,0.59587
9/15/15 15:15,0.576412
9/15/15 15:30,0.554277
9/15/15 15:45,0.529544
9/15/15 16:00,0.521223
9/15/15 16:15,0.514756
9/15/15 16:30,0.503797
9/15/15 16:45,0.473158
9/15/15 17:00,0.438943
9/15/15 17:15,0.406659
9/15/15 17:30,0.372391
9/15/15 17:45,0.34014
9/15/15 18:00,0.310849
9/15/15 18:15,0.286109
9/15/15 18:30,0.250802
9/15/15 18:45,0.214441
9/15/15 19:00,0.187138
9/15/15 19:15,0.164526
9/15/15 19:30,0.14583
9/15/15 19:45,0.130274
9/15/15 20:00,0.116766
9/15/15 20:15,0.105612
9/15/15 20:30,0.096718
9/15/15 20:45,0.089584
9/15/15 21:00,0.083875
9/15/15 21:15,0.079303
9/15/15 21:30,0.075642
