Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,146312,-,-,-,39.81,-123.5,-8,1024,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.0
Year,Month,Day,Hour,Minute,GHI,Relative Humidity,Temperature,Pressure
2016,1,1,0,0,0,67.79,-1,9.1
2016,1,1,0,30,0,67.77,-1,9.1
2016,1,1,1,0,0,69.36,-2,9.1
2016,1,1,1,30,0,69.36,-2,9.1
2016,1,1,2,0,0,67.19,-2,9.1
2016,1,1,2,30,0,67.19,-2,9.1
2016,1,1,3,0,0,66.08,-2,9.0
2016,1,1,3,30,0,66.08,-2,9.0
2016,1,1,4,0,0,65.75,-2,9.0
2016,1,1,4,30,0,65.75,-2,9.0
2016,1,1,5,0,0,65.52,-2,9.0
2016,1,1,5,30,0,65.52,-2,9.0
2016,1,1,6,0,0,70.39,-3,9.1
2016,1,1,6,30,0,70.4,-3,9.1
2016,1,1,7,0,0,70.92,-3,9.1
2016,1,1,7,30,0,65.87,-2,9.1
2016,1,1,8,0,41,63.57,-1,9.1
2016,1,1,8,30,119,59.120000000000005,0,9.1
2016,1,1,9,0,200,61.18,0,9.1
2016,1,1,9,30,277,56.92,1,9.1
2016,1,1,10,0,345,54.61,2,9.1
2016,1,1,10,30,403,54.6,2,9.1
2016,1,1,11,0,447,51.82,3,9.1
2016,1,1,11,30,478,51.800000000000004,3,9.1
2016,1,1,12,0,494,49.02,4,9.1
2016,1,1,12,30,495,49.01,4,9.1
2016,1,1,13,0,481,47.02,5,9.0
2016,1,1,13,30,453,47.01,5,9.0
2016,1,1,14,0,409,48.75,5,9.0
2016,1,1,14,30,354,52.27,4,9.0
2016,1,1,15,0,287,59.15,4,9.0
2016,1,1,15,30,211,63.47,3,9.0
2016,1,1,16,0,130,64.89,2,9.0
2016,1,1,16,30,52,69.71000000000001,1,9.0
2016,1,1,17,0,0,65.28,1,9.0
2016,1,1,17,30,0,70.17,0,9.0
2016,1,1,18,0,0,70.72,0,9.1
2016,1,1,18,30,0,70.72,0,9.1
2016,1,1,19,0,0,71.46000000000001,0,9.1
